userName,mexBizCount,meanMexicanStars,meanOverallStars
Boon,9,3.1,3.929824561403509
Mike,7,4.285714285714286,4.236842105263159
Marielle,7,4.0,4.040983606557376
Steve,7,3.571428571428571,3.7464788732394365
Isabella,7,3.75,4.25
Karen,7,3.5,3.7614678899082574
Kelleigh,7,3.75,4.0588235294117645
Brett,7,4.0,4.200000000000003
Angela,7,3.6666666666666665,4.2142857142857135
Virginia,7,2.625,3.6136363636363633
Jay,6,4.166666666666667,4.285714285714286
Christina,6,4.625,4.284090909090904
Michael,6,3.1250000000000004,3.56
Brad,6,4.0,4.1923076923076925
Shannon,6,2.5,3.019230769230769
Eli,6,4.0,4.124999999999999
Peter,6,3.166666666666667,3.535211267605634
Ken,6,4.2857142857142865,4.282608695652173
Samantha,6,3.5,3.7391304347826084
Dr Tim L,6,3.1666666666666665,3.1999999999999997
Todd,6,3.5,3.837837837837838
Karen,6,3.833333333333333,3.8936170212765955
Kim,6,3.3333333333333335,4.133333333333333
Tricia,6,3.857142857142857,4.000000000000001
Charles,5,3.0,3.0468750000000004
Mark,5,3.333333333333333,3.4175824175824183
Tasha,5,4.4,3.857142857142857
Lemonjelly,5,3.625,3.9090909090909096
Mark,5,3.1666666666666665,3.4827586206896552
Paul,5,3.8,4.227272727272728
Michelle,5,4.2,4.307692307692308
Todd,5,4.2,3.7777777777777777
Jeremy,5,4.2,4.45
Lauren,5,3.2,3.85
Peter,5,2.4,3.107142857142857
Sheena,5,3.4,3.8863636363636367
Christopher,5,3.8,4.5
Peg,5,4.0,4.250000000000001
Ray,5,3.6,3.166666666666667
Mark,5,3.6,3.7142857142857144
Michael,5,4.285714285714286,4.390804597701149
Jen,5,3.1666666666666665,3.5333333333333328
Tough,5,3.0,3.1999999999999997
John,5,4.333333333333334,4.092592592592593
Tracy,5,3.8,3.8
Rachel,5,4.0,4.032967032967033
EJ,5,3.0,3.5625
Nick,5,4.2,4.136986301369863
Kelsi,5,4.166666666666667,4.5
Robert,5,3.2,3.782608695652174
Dianna,5,4.2,3.8979591836734695
michelle,5,4.0,3.926470588235295
Danny,5,3.8,3.8076923076923075
Simon,5,3.8,3.8
Adam,5,4.4,4.159999999999999
